protocol_name,paper_name,exact_primitive_implemented,full_system_reproduced,arithmetic_skeleton_only,cost_model_only,static_forward_supported,decoder_generation_supported,kv_cache_append_supported,lora_training_supported,linear_correctness_error,kv_append_result,boundary_calls,local_runtime_ms,runtime_directly_comparable,threat_model_match,unsupported_reason,safe_paper_wording
ours_right_mask_full_bundle,this work,True,True,False,False,True,True,True,True,3.608224830031759e-15,supported_with_right_mask,1,0.25227499991160585,True,"trusted controller + untrusted accelerator; proxy-evaluated, not formal",,Under our proxy attackers and in our tested configurations the full bundle keeps the worst-case classifier near random chance.
ours_right_mask_full_bundle_masked_boundary,this work,True,True,False,False,True,True,True,True,3.2751579226442118e-15,supported_with_right_mask,1,0.1600831996256602,True,"trusted controller + untrusted accelerator; proxy-evaluated, not formal",,"Same as the default full bundle but with the experimental opt-in inter_block_masked_boundary mode; reported as proxy-supported, not formal."
slalom_delegated_linear,"Slalom: Fast, Verifiable and Private Execution of Neural Networks in Trusted Hardware (ICLR 2019)",True,False,False,False,True,False,False,False,2.4702462297909733e-15,unsupported: out-of-paper-scope,1,0.004749999970954377,True,Slalom: trusted CPU + untrusted accelerator with Freivalds verification,generation / KV append / LoRA training out of paper scope,We directly implement the Slalom delegated linear primitive and the Freivalds-style verification check.
darknight_blinding_primitive,DarKnight: An Accelerated Framework for Privacy and Integrity Preserving Deep Learning (USENIX Security 2021),True,False,False,False,True,False,False,False,1.887379141862766e-15,unsupported: out-of-paper-scope,2,0.004799999987881165,True,DarKnight: SGX + GPU coding scheme; semi-honest,"general k>=3 coding, integrity coding, and full SGX pipeline not reproduced",We directly implement the k=2 DarKnight additive-sharing skeleton over a linear layer.
amulet_static_left_right_mask,Amulet (matrix-obfuscation family); referenced as the static PHQ primitive,True,False,False,False,True,False,False,False,1.0824674490095276e-15,counterexample_max_gap=4.590e+00; block_compatible_gap=0.000e+00; kv_append_supported=False,1,0.19530000008671777,True,Amulet static-mask family; semi-honest,A generic invertible left mask P_t does not commute with token-axis concatenation unless P_t is block-diagonal aligned with the prefix masks. Refreshing P per step therefore invalidates the existing masked cache and forces re-computation.,We directly implement the Amulet static PHQ identity and report the autoregressive KV-append counterexample.
arrow_direct_primitive_or_unavailable,Arrow (nonlinear-primitive obfuscation; specific formula not available in repository materials),False,False,False,False,False,False,False,False,nan,unsupported: arrow primitive unavailable,0,nan,False,n/a,Arrow primitive is unavailable in this repository,The Arrow nonlinear primitive is not available in the repository materials; we record it as unavailable rather than substituting a proxy.
cryptonets_polynomial_skeleton,CryptoNets (ICML 2016) -- polynomial-activation skeleton only,True,False,True,False,True,False,False,False,0.0,unsupported: polynomial-only network has no KV cache,2,0.012749999768857379,False,CryptoNets: client-side HE; cloud sees ciphertexts (not modelled here),no HE library used; arithmetic skeleton only,We implement the CryptoNets x^2 polynomial-activation skeleton in plaintext; we do NOT implement the full cryptographic protocol.
gazelle_cost_model_only,GAZELLE (USENIX Security 2018),False,False,False,True,False,False,False,False,nan,unsupported: cost-model-only baseline,-1,nan,False,semi-honest; single-server inference,no executable cryptographic protocol implemented; cost dimensions only,GAZELLE (USENIX Security 2018) is included as a cost-model-only baseline; we do NOT execute its cryptographic protocol and we do NOT produce a measured runtime.
delphi_cost_model_only,Delphi (USENIX Security 2020),False,False,False,True,False,False,False,False,nan,unsupported: cost-model-only baseline,-1,nan,False,semi-honest; single-server inference,no executable cryptographic protocol implemented; cost dimensions only,Delphi (USENIX Security 2020) is included as a cost-model-only baseline; we do NOT execute its cryptographic protocol and we do NOT produce a measured runtime.
secureml_cost_model_only,SecureML (IEEE S&P 2017),False,False,False,True,False,False,False,False,nan,unsupported: cost-model-only baseline,-1,nan,False,semi-honest; two non-colluding servers,no executable cryptographic protocol implemented; cost dimensions only,SecureML (IEEE S&P 2017) is included as a cost-model-only baseline; we do NOT execute its cryptographic protocol and we do NOT produce a measured runtime.
minionn_cost_model_only,MiniONN (CCS 2017),False,False,False,True,False,False,False,False,nan,unsupported: cost-model-only baseline,-1,nan,False,semi-honest; client + server,no executable cryptographic protocol implemented; cost dimensions only,MiniONN (CCS 2017) is included as a cost-model-only baseline; we do NOT execute its cryptographic protocol and we do NOT produce a measured runtime.
