risk_id,dimension,severity,priority,location,risky_wording_or_missing,why_reviewer_may_object,recommended_revision,new_experiment_needed,wording_fix_enough
NOV-01,novelty_risk,high,P0,sec:introduction (Our approach) + sec:related (Amulet-style and matrix obfuscation methods),The four ingredients in 'Our approach' read close to 'Amulet right-mask + LoRA'. Related work distinguishes Amulet but the contrast is one paragraph and uses 'Amulet-style' phrasing that may be skimmed as 'we are an Amulet variant'.,"A security reviewer who reads only the intro and related work may conclude the system is Amulet + LoRA + island wrappers, i.e. an engineering extension rather than a separate point on the design space.","Add a one-paragraph 'What is new vs. Amulet' explicit contrast in sec:related enumerating: (i) generation-compatible right-masking (Amulet KV-append counterexample, RQ13); (ii) operator-compatible nonlinear islands with proved invariance groups (Theorems 2-5); (iii) private LoRA backward + rank padding (Theorems 7-9); (iv) deployable trusted-controller / accelerator-backend split (sec:design:backend, RQ14). Cross-reference each item to its theorem and RQ.",no,yes
NOV-02,novelty_risk,medium,P1,sec:introduction (Why prior obfuscation does not cover generative LLMs),"Cites 'Amulet-style matrix obfuscation' and 'secret-shared offload' together. The LoRA / KV-append / RoPE / GQA novelty list is good but the public-base-model vs. user-data distinction is implicit, not stated.","Reviewers from the cryptographic privacy community routinely ask 'why are you protecting the activations instead of the model?' If the public-base-model assumption is not stated up-front, the contribution looks confused.","Add one sentence to the introduction: 'Our threat model assumes the base-model weights are public; we protect the *user's* runtime data (prompt, hidden states, KV cache, LoRA adapter, gradients). Model weight extraction is out of scope.' Cross-reference sec:threat 'Allowed leakage'.",no,yes
NOV-03,novelty_risk,medium,P2,sec:design:backend + sec:eval:rq14,"RQ14 introduces the runtime API but does not explicitly position it as a *deployment-readiness primitive*, separate from the masking primitives. Reviewers may read it as plumbing rather than contribution.","Systems reviewers may say 'the backend split is engineering, not novelty'. The argument that the split makes future TEE/GPU swap possible without protocol changes should be made explicit, not implicit.",Add one paragraph at the end of sec:design:backend explaining that this boundary makes the protocol logic and the hardware substrate orthogonal -- the same TrustedController is reused across LocalCPUBackend and any future TEE / GPU backend without touching the masking code. Keep the 'not deployed' caveat.,no,yes
THR-01,threat_model_risk,high,P0,sec:threat (Allowed leakage) + sec:limitations item 9,Sequence-length leakage is mentioned once ('unless a separate sequence-length pad is engaged (not implemented)'). Reviewer may underweight this and miss that we do not currently pad seq-length.,Sequence-length is a classical side-channel for prompt-content recovery in LLM serving. A reviewer who sees no explicit treatment will demand it.,"Promote the seq-length leak into its own bullet in 'Allowed leakage' and reference sec:limitations item 9 explicitly. State that batch shape, per-layer tensor shape, and seq-len are visible by default.",no,yes
THR-02,threat_model_risk,high,P0,sec:threat (Trusted-side controller) + sec:abstract + figures/captions,"Trusted-side controller is correctly described as 'TEE-like, locally emulated' in sec:threat, but the qualifier is not always co-located with 'trusted controller' in figures and captions.",A skim reviewer who only reads a figure caption may not notice the 'locally emulated' qualifier and conclude that a real TEE was deployed.,"Audit every figure caption (fig:system-overview, fig:right-masked-decode, fig:dense-sandwich, fig:nonlinear-island, fig:lora-training, fig:measured-runtime-summary, fig:security-risk-matrix) to confirm each occurrence of 'trusted controller' is co-located with 'locally emulated' or an equivalent disclaimer.",no,yes
THR-03,threat_model_risk,medium,P1,sec:threat (Adversary capabilities exercised in evaluation),"Lists ridge / MLP / signature / Sinkhorn / linkability / DLG / spectral / ensemble / cost-model attackers. Does not say what *stronger* attacker is out of scope (e.g. learning-based inverters with substantially more data, white-box weight access).",Reviewer will ask 'have you tried a stronger attacker?' We should pre-empt by naming the explicit stronger-attacker categories that we do not evaluate.,"Add one sentence to 'Adversary capabilities' enumerating attackers we do not evaluate: large-scale learning-based inverters trained on millions of (masked, plain) pairs; white-box-weight inverters; hardware-side-channel attackers; multi-tenant trace correlation attackers.",no,yes
THR-04,threat_model_risk,medium,P1,sec:threat (Out of scope) + sec:design:backend,"Out-of-scope correctly lists compromised TEE, HW side-channels, formal security, real-TEE wall-time, full fine-tune, framework integration, padded-rank hiding, outsourced loss/optimizer. The deployable-runtime boundary contract (Stage 7.5c) is not enumerated here.",A reviewer scanning the threat model only will not realise that the runtime boundary is interface-only; the qualifier currently lives only in sec:design:backend and sec:eval:rq14.,Add one out-of-scope bullet: 'Real-hardware deployment of the trusted controller / accelerator backend split. The runtime API is interface-ready (see sec:design:backend); only the LocalCPUBackend is implemented.',no,yes
PWR-01,prior_work_comparison_risk,high,P0,sec:eval:rq13 (Cross-cutting observations final paragraph),"'... highlights which primitives extend to generative LLMs (ours) and which do not (Slalom, DarKnight, Amulet static masking, CryptoNets arithmetic skeleton).' Reads as 'ours is better than them'.","Each baseline solves a different problem under a different threat model. Saying 'they do not extend to generative LLMs' invites the rebuttal 'because they were not designed for generative LLMs, and you do not provide their formal-security property in return.'","Re-word as: 'The direct prior-work primitives we implement target different problems and threat models. Their primitive surface does not cover decoder-only generation, KV-cache append, or LoRA personalization, which is the surface our scheme targets; conversely, our scheme does not provide the formal cryptographic guarantees that CryptoNets / Gazelle / Delphi / SecureML / MiniONN provide.' Drop the implicit 'ours wins' framing.",no,yes
PWR-02,prior_work_comparison_risk,medium,P1,sec:eval:rq13 (Setup paragraph),'We implement the primitive(s) of each named prior work directly from its paper formula and execute them under the same CPU local runtime API as our scheme.' Good. But the sentence is dense and could be misread as 'we reproduced these papers.',Reviewer may quote this sentence in isolation and claim we are overstating reproduction.,Add the disclaimer in the *same* sentence: 'We implement the named primitive of each prior work (NOT the full system) directly from its paper formula and execute that single primitive under the same CPU local runtime API as our scheme.' Then list which papers and which primitive.,no,yes
PWR-03,prior_work_comparison_risk,medium,P1,sec:eval:rq13 + sec:related (Privacy-preserving ML inference),Related work says 'They give formal-security guarantees but pay one to several orders of magnitude in overhead.' RQ13 reports local CPU runtime for ours and explicitly refuses runtime for cost-model rows. A reviewer may still try to compute an unfair ratio.,Reviewers can mis-attribute a comparison if both 'we are faster' and 'they are formal' appear within a few pages of each other.,Add an explicit sentence to the RQ13 setup: 'Runtime numbers in the cost-model rows are deliberately left blank (NaN). Any ratio computed against an imputed runtime would be meaningless because the cryptographic protocols are not executed.' Mirror this in sec:related.,no,yes
