path,ext,size_bytes,mtime,referenced,action,action_reason
README.md,.md,14372,1780997282,True,keep_referenced,path 'README.md' appears in repo text
docs/PAPER_EVALUATION_MAP.md,.md,11830,1780989513,True,keep_referenced,basename 'PAPER_EVALUATION_MAP.md' appears in repo text
docs/PAPER_THEORY_OUTLINE.md,.md,12885,1780989443,True,keep_referenced,path 'docs/PAPER_THEORY_OUTLINE.md' appears in repo text
docs/STAGE_ARTIFACTS.md,.md,209911,1780997196,True,keep_referenced,basename 'STAGE_ARTIFACTS.md' appears in repo text
docs/paper_draft/00_paper_positioning.md,.md,9416,1780962704,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/01_introduction.md,.md,8963,1780962754,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/02_system_and_threat_model.md,.md,9855,1780962813,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/03_method.md,.md,18185,1780962924,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/04_theory_and_proofs.md,.md,22111,1780963052,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/05_experiments.md,.md,18830,1780963165,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/06_limitations.md,.md,11154,1780963228,True,keep_referenced,basename '06_limitations.md' appears in repo text
docs/paper_draft/07_related_work_notes.md,.md,10805,1780963291,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/appendix_a_component_coverage.md,.md,8427,1780963343,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/appendix_b_claims_audit.md,.md,11089,1780963402,False,keep,protected path (src/tests/scripts/docs/paper_*/README/pyproject)
docs/paper_draft/appendix_c_cost_model.md,.md,8891,1780963467,True,keep_referenced,path 'docs/paper_draft/appendix_c_cost_model.md' appears in repo text
docs/paper_draft/tables.md,.md,12154,1780963532,True,keep_referenced,basename 'tables.md' appears in repo text
docs/runtime_boundary.md,.md,5562,1780454025,True,keep_referenced,basename 'runtime_boundary.md' appears in repo text
outputs/_summary_runs/gpt2_block_pad_false.json,.json,1439,1780019521,True,keep_referenced,basename 'gpt2_block_pad_false.json' appears in repo text
outputs/_summary_runs/gpt2_block_pad_true.json,.json,1425,1780019514,True,keep_referenced,basename 'gpt2_block_pad_true.json' appears in repo text
outputs/_summary_runs/gpt2_cache_pad_false.json,.json,2683,1780019550,True,keep_referenced,basename 'gpt2_cache_pad_false.json' appears in repo text
outputs/_summary_runs/gpt2_cache_pad_true.json,.json,2684,1780019543,True,keep_referenced,basename 'gpt2_cache_pad_true.json' appears in repo text
outputs/_summary_runs/gpt2_generation_pad_false.json,.json,3547,1780019564,True,keep_referenced,basename 'gpt2_generation_pad_false.json' appears in repo text
outputs/_summary_runs/gpt2_generation_pad_true.json,.json,3565,1780019557,True,keep_referenced,basename 'gpt2_generation_pad_true.json' appears in repo text
outputs/_summary_runs/gpt2_model_pad_false.json,.json,1354,1780019536,True,keep_referenced,basename 'gpt2_model_pad_false.json' appears in repo text
outputs/_summary_runs/gpt2_model_pad_true.json,.json,1349,1780019528,True,keep_referenced,basename 'gpt2_model_pad_true.json' appears in repo text
outputs/_summary_runs/kv_cache.json,.json,1448,1780019507,True,keep_referenced,basename 'kv_cache.json' appears in repo text
outputs/_summary_runs/lora_pad_false.json,.json,586,1780019506,True,keep_referenced,basename 'lora_pad_false.json' appears in repo text
outputs/_summary_runs/lora_pad_true.json,.json,586,1780019505,True,keep_referenced,basename 'lora_pad_true.json' appears in repo text
outputs/_summary_runs/static_pad_false.json,.json,585,1780019504,True,keep_referenced,basename 'static_pad_false.json' appears in repo text
outputs/_summary_runs/static_pad_true.json,.json,585,1780019504,True,keep_referenced,basename 'static_pad_true.json' appears in repo text
outputs/_summary_runs/tiny_generation.json,.json,825,1780019508,True,keep_referenced,basename 'tiny_generation.json' appears in repo text
outputs/_summary_runs/tiny_transformer.json,.json,854,1780019506,True,keep_referenced,basename 'tiny_transformer.json' appears in repo text
outputs/adaptive_island_attacks.csv,.csv,17356,1780236232,True,keep_referenced,basename 'adaptive_island_attacks.csv' appears in repo text
outputs/adaptive_island_attacks.json,.json,20536,1780236232,True,keep_referenced,basename 'adaptive_island_attacks.json' appears in repo text
outputs/adaptive_island_attacks.md,.md,7592,1780236232,True,keep_referenced,basename 'adaptive_island_attacks.md' appears in repo text
outputs/architecture_coverage.csv,.csv,738,1780042056,True,keep_referenced,basename 'architecture_coverage.csv' appears in repo text
outputs/architecture_coverage.json,.json,5264,1780042056,True,keep_referenced,basename 'architecture_coverage.json' appears in repo text
outputs/architecture_coverage.md,.md,4535,1780042056,True,keep_referenced,basename 'architecture_coverage.md' appears in repo text
outputs/archive/outputs/gpt2_block_correctness_small.json,.json,975,1779951049,True,keep_referenced,basename 'gpt2_block_correctness_small.json' appears in repo text
outputs/attention_experiments.csv,.csv,9608,1780021933,True,keep_referenced,basename 'attention_experiments.csv' appears in repo text
outputs/attention_experiments.json,.json,198587,1780021933,True,keep_referenced,basename 'attention_experiments.json' appears in repo text
outputs/attention_experiments.md,.md,2959,1780021933,True,keep_referenced,basename 'attention_experiments.md' appears in repo text
outputs/attention_privacy_modes.json,.json,19356,1780923839,True,keep_referenced,basename 'attention_privacy_modes.json' appears in repo text
outputs/attention_privacy_modes.md,.md,7979,1780923839,True,keep_referenced,basename 'attention_privacy_modes.md' appears in repo text
outputs/cpu_runtime_completion.csv,.csv,19335,1780451856,True,keep_referenced,basename 'cpu_runtime_completion.csv' appears in repo text
outputs/cpu_runtime_completion.json,.json,45897,1780451856,True,keep_referenced,basename 'cpu_runtime_completion.json' appears in repo text
outputs/cpu_runtime_completion.md,.md,22878,1780451856,True,keep_referenced,basename 'cpu_runtime_completion.md' appears in repo text
outputs/cross_architecture_compatible_island_smoke.json,.json,14031,1780202323,True,keep_referenced,basename 'cross_architecture_compatible_island_smoke.json' appears in repo text
outputs/cross_architecture_compatible_island_smoke.md,.md,2393,1780202323,True,keep_referenced,basename 'cross_architecture_compatible_island_smoke.md' appears in repo text
outputs/cross_architecture_summary.csv,.csv,1283,1780997430,True,keep_core_artifact,Stage 5.7/5.8/7.6 or paper core artifact
