section,attack,strategy,metric,value,notes
config,n/a,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs,
config,n/a,n/a,seed,2026,
config,n/a,n/a,d_in,32,
config,n/a,n/a,d_out,16,
config,n/a,n/a,true_ranks,2|4|8,
config,n/a,n/a,padded_rank,16,
config,n/a,n/a,alpha,1.0,
config,n/a,n/a,num_trials,24,
config,n/a,n/a,num_lora_modules_for_linkage,4,
config,n/a,n/a,use_pad,True,
config,n/a,n/a,pad_scale,1.0,
config,n/a,n/a,dummy_scale,1.0,
config,n/a,n/a,noise_scale,0.001,
config,n/a,n/a,spectrum_match_strength,1.0,
config,n/a,n/a,dummy_strategies,zero_dummy|paired_cancellation_dummy|gaussian_matched_dummy|spectrum_matched_dummy|noise_injected_cancellation_dummy|orthogonalized_cancellation_dummy|mixed_dummy_ensemble,
config,n/a,n/a,dtype,float64,
config,n/a,n/a,device,cpu,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,inferred_rank_cliff_b_mean,2.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,inferred_rank_energy_b_mean,2.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,inferred_rank_elbow_b_mean,2.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,cliff_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,energy_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,elbow_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,ensemble_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,confidence_gap_b,1.5232792396998057e-16,
spectral_rank_inference,spectral,zero_dummy.true_rank_2,risk_level,high,
spectral_rank_inference,spectral,zero_dummy.true_rank_4,inferred_rank_cliff_b_mean,4.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_4,inferred_rank_energy_b_mean,4.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_4,inferred_rank_elbow_b_mean,4.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_4,cliff_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_4,energy_inference_accuracy,1.0,
